Key,Type,Name,Description,Vendor,Version,Architecure Layers,Tech Stacks,Lines of Code,Maintenance,Support,Hits,Business Process,Business Using,Status,Strategy,Change Date,Follow-Up,Originated,Comments
20150121000001,Languages,DoJo,Open source Javascript toolkit,Open Source,,,,200000,,,,,Fleet;CDF;Rail,Hold,Move Off,2014/11/20,,2010/01/01,Coupled with ESRI
20150121000002,Languages,C++,Object Oriented Language,Microsoft,,,,300000,,,,,Fleet;CDF;Rail,Hold,Move Off,2014/10/29,,2000/01/01,
20150121000003,Languages,Java,Object Oriented Language,Oracle,,,,3000000,,,,Ordering;Invoicing;Servicing,Fleet;CDF;Rail;GECA,Adopt,,2014/12/04,,2000/01/01,
20150121000004,Languages,Javascript,Browser Presentation Language,Open Source,,,,1000000,,,,Ordering,Fleet;CDF;Rail;GECA,Adopt,,2015/02/18,N,2000/01/01,
20150121000005,Languages,Sencha Touch,Mobile application development language,Sencha,,,,100000,,,,,,Hold,,2015/01/08,N,2012/01/01,Native development or using Cordova Sencha isn't relevant. Leasing Source mobile apps.
20150121000006,Languages,Jquery,Cross-platform Javascript library to simplify client side scripting of HTML,Open Source,,,,250000,,,,,Fleet;CDF;Rail;GECA,Adopt,,2014/12/04,,2008/01/01,
20150121000007,Languages,Flash/Flex,Multimedia and software platform used for creating vector graphics; animation; games and rich Internet applications (RIAs),Adobe,,,,200000,,,,,,Move Off,,2015/01/07,N,2011/01/01,Not portable; rejected by Blackberry. HTML5 new standard. Used by BEX (Booking Express).
20150121000008,Languages,DC-COBOL,Mainframe development language,CA,,,,3000000,,,,,Fleet;CDF;Rail,Hold,Move Off,2015/02/20,N,1995/01/01,
20150121000009,Languages,MF-COBOL,Mainframe development language,CA,,,,3000000,,,,,Fleet;CDF;Rail,Hold,Move Off,2015/01/08,N,1995/01/01,
20150121000010,Languages,Mule,Lightweight enterprise service bus (ESB) and integration framework,,,,,100000,,,,,Fleet,Assess,,2014/12/04,,2012/01/01,Used by San Ramon Predix platform?
20150121000011,Languages,Portlet Factory,Development environment for building portal and web applications,IBM,,,,100000,,,,,,Move Off,,2014/12/09,N,2011/01/01,
20150121000012,Languages,Struts MVC,Framework for writing Web-based applications in Java that supports the Model-View-Controller (MVC) architecture,Apache,,,,2000000,,,,,Fleet;CDF;Rail;GECA,Move Off,,2015/01/08,N,2008/01/01,Move towards Spring
20150121000013,Languages,Jquery Mobile,Cross-platform Javascript library to simplify client side scripting of HTML mobile version,Open Source,,,,250000,,,,,HQ,Move Off,,2014/12/04,,2012/01/01,
20150121000014,Languages,PHP,Server-side scripting language designed for web development but also used as a general-purpose programming language,PHP group,,,,800000,,,,,CDF;Rail,Hold,,2014/12/09,N,2010/01/01,Peter Haslund (Customer Growth Initiatives) used extensively (Word Press?)
20150121000015,Languages,C#,Object-oriented programming language in development from Microsoft; which is intended to combine the computing power of C++ with the programming ease of Visual Basic,Microsoft,,,,400000,,,,,,Hold,Move Off,2014/10/29,,2010/01/01,
20150121000016,Languages,Objective C,General-purpose; object-oriented programming language that adds Smalltalk -style messaging to the C programming language,Apple,,,,200000,,,,,Capital HQ;GECA,Adopt,,2014/12/04,,2010/01/01,IOS dev in Swift
20150121000017,Languages,Jquery Portal,Lightweight Portal Framework using jQuery,Open Source,,,,100000,,,,,,Move Off,,2014/12/04,,2012/01/01,
20150121000018,Languages,Spring,Open source framework Java development (Spring: Batch; Roo; MVC),Open Source,,,,300000,,,,,Fleet;CDF;GECA,Adopt,,2014/12/09,N,2012/01/01,
20150121000019,Languages,Google Maps,Google Maps ,Google,,,,150000,,,,,,Adopt,,2014/11/20,,2012/01/01,Limitations with ESRI tied to DoJo; so if the need doesn't need demographics; Google Maps should be used.
20150121000020,Languages,Chameleon,HTML/XML template engine for Python,Python,,,,100000,,,,,,Move Off,,2015/01/08,N,2013/01/01,Who's using this; need follow-up? Decommissioned - Keep code base - leverage security?
20150121000021,Languages,JqGrid,Jquery grid plugin,Trirand,,,,100000,,,,,,Hold,Move Off,2014/12/04,,2012/01/01,
20150121000022,Tools,Caliber RM,Requirements management tool which enables you to collect; define; visualize and track project needs,Borland,,,,150000,,,,,Fleet;CDF;Rail,Move Off,,2015/01/08,N,2010/01/01,Who's using this; need follow-up? Decomissioned
20150121000023,Tools,ALM - Application Lifecycle Management,Quality management software offered from the HP Software Division of Hewlett-Packard with many capabilities acquired from Mercury,HP,,,,150000,,,,,Fleet;GECA;HQ,Adopt,,2014/12/09,N,2011/01/01,
20150121000024,Tools,IBM Compass,WebSphere® Business Compass is a collaborative web-based tool for designing and developing business process assets,IBM,,,,150000,,,,,Fleet,Hold,,2014/11/20,,2011/01/01,Modeler/Designer; IBM won't support in future; should cost out Blue Works to keep cost down (based on seat license).
20150121000025,Tools,IBM Modeler,Advanced business process modeling and analysis tool,IBM,,,,150000,,,,,Fleet;CDF;Rail;Canada,Hold,Move Off,2014/11/20,,2011/01/01,IBM won't support; should  not use.
20150121000026,Tools,IBM Websphere Integration Developer (WID),Eclipse-based tool for building SOA-based BPM and integration solutions across WebSphere Process Server; WebSphere ESB; and WebSphere Adapters,IBM,7.04.01,,,150000,,,,,Fleet;CDF;Rail;Canada,Hold,Move Off,2014/11/20,,2011/01/01,Changed based on Lewis Giannetti's XLS notes
20150121000027,Tools,Balsamiq,Wireframing and mock up tool with a high focus on usability,Balsamiq,,,,150000,,,,,Fleet;CDF;Rail,Hold,Move Off,2014/11/12,,2011/01/01,Still in use? Ann will see if it's still in use.
20150121000028,Tools,StarTeam,Revision control system used in software development; especially when a project involves multiple teams in different locations,Borland,,,,2000000,,,,,Fleet;CDF;Rail,Move Off,,2014/12/09,N,2008/01/01,
20150121000029,Tools,OpenGE,Version control system,GE,,,,2000000,,,,,Fleet;CDF;Rail;Capital HQ,Adopt,,2014/12/09,N,2010/01/01,
