Key,Type,Name,Changes,Description,Vendor,Version,Architecure Layers,Tech Stacks,Lines of Code,Maintenance,Support,Hits,Business Process,Business Using,Status,Strategy,Change Date,Follow-Up,Originated,Comments
2.01501E+13,Languages,DoJo,"Frontend, Framework, Javascript",Open source Javascript toolkit,Open Source,,,,200000,,,,,Fleet;CDF;Rail,Hold,Move Off,11/20/2014,,1/1/2010,Coupled with ESRI
2.01501E+13,Languages,C++,,Object Oriented Language,Microsoft,,,,300000,,,,,Fleet;CDF;Rail,Hold,Move Off,10/29/2014,,1/1/2000,
2.01501E+13,Languages,Java,<=7.31 Move Off,Object Oriented Language,Oracle,,,,3000000,,,,Ordering;Invoicing;Servicing,Fleet;CDF;Rail;GECA,Adopt,,12/4/2014,,1/1/2000,
2.01501E+13,Languages,Javascript,,Browser Presentation Language,Open Source,,,,1000000,,,,Ordering,Fleet;CDF;Rail;GECA,Adopt,,2/18/2015,N,1/1/2000,
2.01501E+13,Languages,Sencha Touch,,Mobile application development language,Sencha,,,,100000,,,,,,Hold,,1/8/2015,N,1/1/2012,Native development or using Cordova Sencha isn't relevant. Leasing Source mobile apps.
2.01501E+13,Languages,Jquery,"IE8 1.10+, 2+ other browsers Adopt",Cross-platform Javascript library to simplify client side scripting of HTML,Open Source,,,,250000,,,,,Fleet;CDF;Rail;GECA,Adopt,,12/4/2014,,1/1/2008,
2.01501E+13,Languages,Flash/Flex,"Flash platform, Flex framework-opensrc, (Java/JS use) [split apart]",Multimedia and software platform used for creating vector graphics; animation; games and rich Internet applications (RIAs),Adobe,,,,200000,,,,,,Move Off,,1/7/2015,N,1/1/2011,Not portable; rejected by Blackberry. HTML5 new standard. Used by BEX (Booking Express).
2.01501E+13,Languages,DC-COBOL,,Mainframe development language,CA,,,,3000000,,,,,Fleet;CDF;Rail,Hold,Move Off,2/20/2015,N,1/1/1995,
2.01501E+13,Languages,MF-COBOL,,Mainframe development language,CA,,,,3000000,,,,,Fleet;CDF;Rail,Hold,Move Off,1/8/2015,N,1/1/1995,
2.01501E+13,Languages,Mule,Platform 3.5+ Adopt (Java),Lightweight enterprise service bus (ESB) and integration framework,,,,,100000,,,,,Fleet,Assess,,12/4/2014,,1/1/2012,Used by San Ramon Predix platform?
2.01501E+13,Languages,Portlet Factory,,Development environment for building portal and web applications,IBM,,,,100000,,,,,,Move Off,,12/9/2014,N,1/1/2011,
2.01501E+13,Languages,Struts MVC,"2.3+ ok if needed (hold not recommended), Spring preferred
MVC Framework",Framework for writing Web-based applications in Java that supports the Model-View-Controller (MVC) architecture,Apache,,,,2000000,,,,,Fleet;CDF;Rail;GECA,Move Off,,1/8/2015,N,1/1/2008,Move towards Spring
2.01501E+13,Languages,Jquery Mobile,,Cross-platform Javascript library to simplify client side scripting of HTML mobile version,Open Source,,,,250000,,,,,HQ,Move Off,,12/4/2014,,1/1/2012,
2.01501E+13,Languages,PHP,"Deprecated, no new projects",Server-side scripting language designed for web development but also used as a general-purpose programming language,PHP group,,,,800000,,,,,CDF;Rail,Hold,,12/9/2014,N,1/1/2010,Peter Haslund (Customer Growth Initiatives) used extensively (Word Press?)
2.01501E+13,Languages,C#,,Object-oriented programming language in development from Microsoft; which is intended to combine the computing power of C++ with the programming ease of Visual Basic,Microsoft,,,,400000,,,,,,Hold,Move Off,10/29/2014,,1/1/2010,
2.01501E+13,Languages,Objective C,,General-purpose; object-oriented programming language that adds Smalltalk -style messaging to the C programming language,Apple,,,,200000,,,,,Capital HQ;GECA,Adopt,,12/4/2014,,1/1/2010,IOS dev in Swift
2.01501E+13,Languages,Jquery Portal,,Lightweight Portal Framework using jQuery,Open Source,,,,100000,,,,,,Move Off,,12/4/2014,,1/1/2012,
2.01501E+13,Languages,Spring,Platform (framework) <4 move off,Open source framework Java development (Spring: Batch; Roo; MVC),Open Source,,,,300000,,,,,Fleet;CDF;GECA,Adopt,,12/9/2014,N,1/1/2012,
2.01501E+13,Languages,Google Maps,Check with Carl Albrecht-Buehler,Google Maps ,Google,,,,150000,,,,,,Adopt,,11/20/2014,,1/1/2012,Limitations with ESRI tied to DoJo; so if the need doesn't need demographics; Google Maps should be used.
2.01501E+13,Languages,Chameleon,,HTML/XML template engine for Python,Python,,,,100000,,,,,,Move Off,,1/8/2015,N,1/1/2013,Who's using this; need follow-up? Decommissioned - Keep code base - leverage security?
2.01501E+13,Languages,JqGrid,Name Jquery-jqGrid (ask Chris T.),Jquery grid plugin,Trirand,,,,100000,,,,,,Hold,Move Off,12/4/2014,,1/1/2012,
2.01501E+13,Tools,Caliber RM,,Requirements management tool which enables you to collect; define; visualize and track project needs,Borland,,,,150000,,,,,Fleet;CDF;Rail,Move Off,,1/8/2015,N,1/1/2010,Who's using this; need follow-up? Decomissioned
2.01501E+13,Tools,ALM - Application Lifecycle Management,,Quality management software offered from the HP Software Division of Hewlett-Packard with many capabilities acquired from Mercury,HP,,,,150000,,,,,Fleet;GECA;HQ,Adopt,,12/9/2014,N,1/1/2011,
2.01501E+13,Tools,IBM Compass,,WebSphere® Business Compass is a collaborative web-based tool for designing and developing business process assets,IBM,,,,150000,,,,,Fleet,Hold,,11/20/2014,,1/1/2011,Modeler/Designer; IBM won't support in future; should cost out Blue Works to keep cost down (based on seat license).
